id,job_title,description,salary,requirements,benefits,location,business_name
1,English Instructor in Japan,"
-
Every instructor completes a comprehensive training program before they start teaching for NOVA. The program equips them with everything they need to be able to teach high-quality lessons and provide excellent customer service. All NOVA instructors are committed to meeting and exceeding student expectations and supporting student progress toward the achievement of their goals.-
-
-
-
-
-
Contracts may be offered for any number of lessons a week, up to 40, visa status permitting. For an instructor contracted to teach 37 lessons a week, a typical schedule will consist of four 8-lesson (including a meal break) shifts and one 5-lesson (no meal break) shift. The shift times and schedules that we can offer are dictated by customer demand. Demand peaks on weekends and weekday evenings. Although larger branches also offer lessons in the mornings on weekdays, most branches offer lessons from around midday during the week, with shift start and finish times typically falling somewhere between 12:30 pm and 9:30 pm. On weekends and national holidays, demand is higher earlier in the day, and as a result, shifts typically start and finish somewhere between 10:00 am and 6:30 pm.","230,000 - 280,000 jpy","- Degree Holder
-
- TEFL level 5 (168hr)
-
- Fluent English speaker
-
- Positive and professional attitude","- Very competitive remuneration
-
- Full support network
-
- Company can arrange an apartment for NOVA employees (optional)
-
- Paid transportation to and from work
-
- Comprehensive training provided
-
- Visa sponsorship available
-
- Bonuses Paid",Japan > Osaka,NOVA
2,Teach English in China!,"Teach English Global is an education recruitment company founded by teachers for teachers. -Our mission is straightforward: we’re here to help teachers from all backgrounds discover the best opportunities in China. We maintain close partnerships with Language Schools, Kindergartens, Public Schools, Private Schools, International Schools, and Universities nationwide.-
-
Right now, we have some amazing opportunities that we're recruiting for. We're looking for teachers who want to move to China over the coming months or in August (ready for the new September semester)!-
-
After you apply to teach English in China through Teach English Global, a member of our team will contact you directly to arrange an introductory call. During this call, we'll discuss any teaching or location preferences you may have and help establish what type of position would be most suitable for you. We'll then present you with the most relevant opportunities, and interviews will be arranged with the schools you're most interested in.","17,000 - 30,000 RMB/Month","- Bachelor's Degree
-
- TEFL Certificate
-
- Clean Criminal Record
-
- Must hold a passport from the UK, USA, Canada, Ireland, Australia or New Zealand (visa requirement)","- Salary - 17,000RMB - 30,000RMB per month
-
- Monthly incentive bonus
-
- Housing allowance / Apartment provided
-
- Yearly Flight Allowance - 5,000RMB - 10,000RMB
-
- Contract completion bonus
-
- Chinese Z Visa provided, with any visa costs reimbursed
-
- Free health insurance
-
- Paid / part-paid winter and summer vacation
-
- Orientation and continuous on-the-job training
-
- Long-term career progression and promotion opportunities",China > Multiple locations in China,Teach English Global
3,English Teachers needed in Thailand,"BFITS is a leading education provider in Thailand servicing 25- schools nationwide. We offer a competitive package with a full support team. Get hired and trained to teach and thrive at one of our Thai schools-
-
-
-
-
","42,300 THB","Must be Proficient in English
-
Bachelor's Degree 
-
Police Clearance (local or national)
-
TEFL Level 5","- 42,300 THB (EP/Content) salary per month plus 500 THB per hour if overtime
-
- 12-month (EP/Content) academic year contract that can be extended for additional years and additional benefits. *No unpaid months or reduced pay due to school holidays or reduced teaching hours*
-
- Visa cost assistance up to 9,000 THB
-
- Work permit and teaching license waiver paid by BFITS
-
- Monthly supplemental attendance bonus of 750 THB per month
-
- End of Contract bonus up to 36,000 THB
-
- Guaranteed yearly 3% cost of living pay increase minimum
-
- Medical Insurance
-
- Dental Insurance
-
- 2-4 weeks paid vacation (an additional week for every additional year of employment)
 -
- All Thai government holidays off with pay (13-15 days annually) *These are mandatory government holidays in addition to the paid vacation
-
- 4-7 Paid personal/sick days (unused personal days reimbursed at 500 THB per day at the end of the contract)
-
- Assistance (if needed) in locating housing
-
- Airport pickup (if needed)
-
- Yearly professional development training is provided for free during school breaks. Topics of training based on teacher requests and needs
-
- 30% discount on teaching certifications and micro-credentials with Bridge TEFL Group
-
- Supportive and solution-oriented management",Thailand > Multiple locations,BFITS Thailand
4,Teach English in Poland With English Wizards!,"Looking to teach English in the heart of Central Europe but still looking for that magical ""way in""? Working with English Wizards provides you the option to find paid teaching jobs at schools all over Poland with a legal work visa and full support available inside and outside of the classroom.-
-
-Poland is one of the world’s fastest-growing TEFL destinations due to its charming culture, beautiful medieval cities, low cost of living, and the widespread availability of jobs for native level English speakers. Navigating the job market alone can be quite difficult, especially without EU citizenship, but English Wizards makes the process easier than ever before! -
-
-Poland’s major cities, including Warsaw, Krakow, Gdansk, and Wroclaw, have an abundance of teaching jobs available and don’t suffer from oversaturation of English teachers. At least not yet!-
-
-English teachers will find a wide variety of jobs available in Poland. In the private sector, there are opportunities to teach at private language schools that cater to both adults and children; business English is also growing rapidly, and many teachers are sent by language schools to teach “in company” classes. For those who prefer the youngsters, jobs in preschools and private primary schools exist as well. Private tutoring is also very popular. -
-
-In a nutshell, you have a lot of options for where to teach and who to teach in Poland! At English Wizards, we work with each of our teachers on an individual basis to find the right pathway tailored to each of our strengths. Whether you’re imagining yourself in a classroom of young children or business professionals, we’ve got something for you!-
-
-
-
-Catering to teachers of all levels of experience and qualification, we provide the following program options to either US passport holders, those also from the EU, or other means of living in Poland legally.-
-
-
-
-If you’re looking to expand your ESL career teaching highly motivated students of all ages, this is the program for you. We offer guaranteed paid job placement at language schools all over Poland. With opportunities to teach students of all ages and opportunities for less experienced and more experienced teachers alike, this is truly a program for everyone!-
-
-
-
-If you are already a qualified and experienced ESL teacher who’s ready to'spread your wings’ independently as a teaching professional, our Freelance Program is for you. We arm our freelancers with all the paperwork, support, connections, and guidance necessary to assist qualified ESL teachers in finding the best teaching opportunities Poland has to offer!-
-
-
-
Ready to join us on an exciting adventure teaching in Europe?-
-
Please apply -.",€1100 - €2200,"Are a Native level English Speaker
-
Or possess the same fluency as an English native (CEFR C2, IELTS Band 8.5, or equivalent fluency)
-
Have Professional ESL Teaching Qualifications
-
TEFL level 5 certificate
-
Have Completed Secondary Education
-
High school, A-Levels, or your country’s equivalent
-
Have a Police Clearance Certificate
-
From your home country and any other that the stamps in your passport show you lived in
-
Are Outgoing and Sociable
-
A teacher needs to be charismatic and able to motivate and inspire students to learn. Is this you?
-
Are Capable of Working With Kids
-
Most language schools cater to all ages, including young kids (usually 7+). Is this okay with you?
-
Are Competent and Professional
-
Teaching is a professional job, not a “McJob.” As such, you’ll need to demonstrate the necessary professional and academic competence
-
1+ Years Experience
-
Relevant experience and demonstrated confidence in teaching are essential, with skills transferable from other professions considered if clearly proven","Additional benefits of being with English Wizards include:
 -
- Legal work visa BEFORE coming to Europe 
-
- Work anywhere in Poland – uniquely, the visa through our program allows teachers to teach anywhere in the country, not just at one school 
-
- Job placements & assistance  
-
- Onsite support from our Polish-speaking support staff
-
- Full pre-departure and arrival support services
-
- Arrival orientation and regular social events 
-
- Lifetime access to a wealth of teaching resources, such as lesson materials and job guidance 
-
- Being part of Poland’s largest community of English teachers (300+ active teachers and counting)",Poland > Krakow,English Wizards
125,Seoul and All Major Cities -Seeking Compassionate English/ESL/TEFL/TESOL Teachers for Fall 2024,"We are seeking compassionate and dedicated English, ESL, TEFL, and TESOL teachers for positions commencing in September, October, November 2024 and onwards.-
-
-The English School is a well-established franchise with nationwide branches situated in Seoul and All Major Cities in Korea, as follows:-
-
- Seoul (Gangnam, Daechi, Seocho, Cheongdam, Seongdong, Seongbuk, Gwangjin, Gwanak, Sinchon, Dongdaemun, Eunpyeong, Gangbuk, Guro, Mapo, Mokdong)-
-
- Gyeonggi (Seongnam, Bundang, Suji, Jukjeon, Dongtan, Suwon, Namyangju, Ilsan, Hwajeong, Paju, Gwangmeyong, Anyang, Ansan, Guri, Osan, Gimpo)-
-
- Incheon, Busan, Jeju, Daejeon, Cheonan, Gwangju, Jeonju, Daegu, Ulsan-
-
-
-
-When teaching English, the school tries to instill a sense of culture, knowledge, and experiences of English speaking countries. With state of the art facilities and comforting surroundings, The school tries to ease students into the flow of their classes. They cover not only basic language classes but a wide variety of subjects such as math, science, social studies, and art. With students ranging from kindergarten, all the way up to sixth grade. The teachers at the school strive to help their students reach their maximum potential. Come join the family and help mold the minds of tomorrow.-
-
-
-
- Job Number: IGALL2024SON-
-
- Starting Date: Sep/Oct/Nov 2024 and onwards-
-
- School Type: Private School-
-
- Location: Nationwide, Seoul, Gyeonggi, Incheon, Busan, Jeju, Daejeon, Cheonan, Gwangju, Jeonju, Daegu, Ulsan-
-
- Airfare: Provided Free-
-
- Accommodation: Single housing provided Free (Larger housing will be provided for Couples)-
-
- Distance from School: 10-15 mins-
-
- Age Group: Kindergarten-Elementary-Junior High-
-
- Class Size: 10 students-
-
- Working Days: M-F (No Weekends)-
-
- Schedule of working Hours: 9am-6pm or 1pm-9pm-
-
- Salary: 2.3M KRW - 3.0M KRW-
-
- Severance Pay: One Month-
-
- Vacation Days: 10 days - All the National Holidays-
-
- Sick Leave: 3 days-
-
- Health Insurance: 50% Support-
-
- Training/orientation: Provided-
-
- Contract length: 1 year (Renewable)-
-
-
-
-GLOII is a professional recruiting and English teacher placement agency that operates in the US, UK, Australia, and South Korea. We offer comprehensive, knowledgeable, and professional guidance to prospective English/TEFL/ESL teachers who have a sincere desire to teach English in South Korea while learning about the richness and uniqueness of Korean culture and everyday life.-
-
-GLOII has a recruiting network throughout Korea, representing a large number of public and private schools. This enables us to connect you with the most reputable and established employers, saving your valuable time and energy.-
-
-Our services are offered free of charge to teachers.",2.3M KRW - 3.0M KRW,"No experience is required, and all majors are accepted. To qualify, you must:
-
- Be a native level English speaker
-
- Hold a valid passport from the USA, Canada, UK, Ireland, Australia, New Zealand, or South Africa
-
- Possess an apostilled copy of original bachelor degree from an accredited university in one of the seven recognized English speaking countries listed above
-
- Obtain a national criminal background check with an authenticating Apostille or notarization and certification from a Korean Consulate (depending on country)","- Free Airfare
-
- Free Apartment, Salary: 2.3M KRW - 3.0M KRW
-
- Visa Sponsorship
-
- Medical Insurance 
-
- Pension Support",South Korea > Seoul,GLOII JC KOREA
5,Kindergarten Teacher,"Our kindergarten teachers work with children between the ages of 2 and 6. Each homeroom kindergarten teacher teaches their own class of K1, K2, or K3 level students alongside a trained, experienced Thai co-teacher. Our younger classes also receive the support of additional Thai assistant teachers. In classroom teaching consists of teaching daily core subjects English, Experience, and Math, as well as additional periods of Art, Story Time, and Play during the week for a total of about 10 teaching hours weekly. Additional time spent with your students includes supporting them as they learn about school and develop socially, e.g., playing with them at Recess, taking them to eat lunch, and supervising them in their daily routines. Most of our teachers say that their favourite moments at kindergarten are the heart-warming interactions they get to make with their students outside of class!-
-
-
-
Attend staff meetings-
-
Supervise your students and help them learn-
-
Keep a file of all academic content given to students-
-
Create / revise lesson plans-
-
Teach all scheduled classes-
-
Make worksheets, quizzes, tests, etc. to supplement ready-made materials-
-
Prepare materials for lessons-
-
Check and correct students’ work regularly-
-
Keep records of students’ scores-
-
Communicate academic and behavioral progress to families through report cards and parent meetings-
-
Support coworkers and maintain a positive and professional working environment","Starting salary up to 38,000 Baht (With annual (up to) 10%  increase)","- Native level English teacher
-
- No criminal record
-
- Bachelor’s degree (any discipline)
-
- TEFL Level 5
-
- Adaptability and a positive attitude","- Competitive salaries: 34,000-50,000 THB per month depending on qualifications and experience
-
- School pays for work permits, visa extensions and other documents
-
- Social Security 
-
- Medical, dental and prescription drug insurance
-
- Renewing Teachers contract bonus of 26,400 THB (for 12 month contracts)
-
- Thai lunch available everyday
-
- Attendance bonuses
-
- Around 6 weeks of PAID holidays the first year (up to 12 weeks for renewing teachers)!
-
- Modern air-conditioned classrooms and offices
-
- WiFi and free use of school computers
-
- Orientation
-
- Professional development
-
- Fun & laid back environment
-
- AND much much more!!!",Thailand > Nakhon Si Thammarat,Srithammarat Suksa School English Programme
6,Public School Position in South Korea through EPIK and Korvia Consulting,"
-
-
-
-
-
-
-
-
-
",2.2 million won to 2.7 million won,"- Be a citizen of one of the following countries: Australia, Canada, Ireland, New Zealand, South Africa, the United Kingdom, or the United States (due to visa requirements)
-
- Attended an English-medium school from grades 7-12 in the previously mentioned countries
-
- Hold a Bachelor's degree from an accredited university in one of the countries previously mentioned
-
- Have a clean criminal background check
-
- TEFL Level 5
-
- Be in good physical and mental health","Financial Benefits:
-
- Competitive Salary: EPIK teachers earn a generous salary ranging from 2.2 million to 2.8 million KRW per month, depending on qualifications and experience 
-
- Entrance Allowance: A payment of 1.8 million KRW is provided to cover your flight to South Korea 
-
- Settlement Allowance: A one-time payment of 300,000 KRW is provided to assist with settling into a new home 
-
- Severance Pay: Teachers receive severance pay based on their length of service
-
-
Housing Benefits:
-
- Free Furnished Housing: EPIK teachers are provided with rent-free, furnished single accommodations
-
-
Additional Benefits:
-
- Medical Insurance: 50% of the monthly medical insurance premium is covered by the EPIK program
-
- Paid Vacation: Teachers receive 26 paid vacation days per year
-
- Professional Development: Opportunities for professional development are available, including workshops, conferences, and online courses
-
- Cultural Experiences: EPIK teachers have the chance to immerse themselves in Korean culture through language classes, cultural events, and travel opportunities
-
-
Overall, EPIK teachers benefit from a competitive compensation package, comprehensive support services, and a unique opportunity to live and work in a vibrant and dynamic country. These benefits contribute to a rewarding and enriching experience for educators seeking to make a difference while exploring a new culture.",South Korea > Nation Wide,Korvia Consulting
7,Au Pair in China with Wanderlust Exchange,"Increasingly more students and young professionals are interested in making China as their next step for cultural exploration. Whether seeking a gap year program, internship abroad, or new travel location, they are attracted by China's rich history and fascinating culture. As a Wanderlust Au Pair in China, you will have the paralleled opportunity to experience the Chinese culture firsthand while indulging your desire to travel the world. -
-Wanderlust Exchange helps match culture-hungry young adults to individual Chinese families looking to host an Au Pair for 3, 6, and 12-month periods -- Au Pairing over a 2-month summer break is also possible! Many Chinese families are interested in hosting native or fluent English speakers in their homes to support their child's language development and provide an opportunity to promote cultural diversity and understanding.-
-Being an Au Pair in China is an immense opportunity to grow as a global citizen by experiencing a new culture, pushing your comfort zone, and cultivating the necessary tools to bridge cultural divides now and in the future.-
-By providing a high-level of program support to program participants before and during their Au Pair experience, Wanderlust Exchange offers a program that is ideal for seasoned and first-time travelers to Asia who may experience some anxiousness around culture differences.-
-Locations of host families:-
-Host families are primarily located in Shanghai, with additional host families in other major cities, including: Beijing, Chongqing, Hangzhou, Nanjing, Suzhou and Ningbo-
-Program time span:-
-3 months-12 months, summer programs (July and August ) also available-​-
-You Pay-: 0$ application fee - $100 USD deposit (the down payment is only required once applicant is approved for program and will be completely refunded to au pairs upon the completion of the program) ",2000 RMB pocket money,"- You have completed secondary school (high school)
-
- You are proficient in English
-
- You have a TEFL level 3
-
- You have no criminal record
-
- You are open to cultural differences and exploration
-
- You have the ability to teach English
-
- You are 18-30 years old","- 2000 RMB pocket money/month (provided monthly)
-
- 3000-12000 RMB flight stipend depending on the length of stay 
-
- 8-15 hours of Mandarin classes/week
-
- 1.5 days off each week
-
- International medical insurance 
-
- Visa application & renewal fee reimbursement (provided upon Au Pair's completion of the program)","China > Shanghai, Beijing, Chongqing, Hangzhou, Nanjing, Suzhou and Ningbo",Wanderlust Exchange
8,Volunteer ESL Teaching Program 2025 in Thailand!,"
-
In partnership with MediaKids Academy, the TEP Foundation for Education is proud to offer a meaningful opportunity for skilled volunteers to enhance English education in local Thai communities.-
-
Since 2020, the TEP Foundation has been dedicated to improving English proficiency among Thai children, especially in under-resourced areas, while fostering cultural awareness and global connectivity. Through this program, volunteers will teach in government and private schools, contributing to brighter futures for students and their communities.-
-
-
-
-
","600 Thai Baht per day / 18,000 Thai Baht per month","- Be an English speaker from the USA, UK, Canada, Ireland, New Zealand, or Australia. South African, Ukrainian, Russian, and European candidates will be considered based on assessment by MediaKids and TEP
-
- Be eligible to obtain a Thai visa
-
- Be between 20 and 45 years old
-
- Hold a TEFL Level 3 certification","- Living Allowance: 600 Thai Baht per day / 18,000 Thai Baht per month
-
- Free Accommodation: Provided (excluding utilities)
-
- Transportation Allowance: 1,000 Thai Baht per month
-
- Accident Insurance
-
- In-Country Assistance
-
- Volunteer Certificates
-
- 80-Hour Culture and Teaching Training Course
-
- Curriculum Consultant Support
-
- Visa Reimbursement: Up to 10,000 Thai Baht
-
- One-Day Cultural Trip",Thailand > Multiple Locations,MediaKids Academy
9,Teach in Japan,"At Tamaki TEFL Recruitment (TTR), we represent one of the top language schools in Japan. This is a private language school position so the class sizes are much smaller than what you would find in a public school. The teaching style is very active and the use of songs, flashcards, and games are all part of the lesson. If you have a lot of energy, this is the right match for you!-
-
This role is teaching young learners from the age range of 2 years to 15 years old, but the majority of the lessons would focus on 6-12-year-old students. There will also be some lessons with children that are 1 year old and for these lessons, the parents will be there too. The class sizes are relatively small and are usually 6-10 students per group. We are seeking teachers who are genuinely enthusiastic and passionate about teaching young learners and who have energy, as you'll need it! Expect to sing lots of songs, do a bit of dancing and play high-energy activities with your students.","Monthly salary: 240,000 Yen","-Bachelor's degree or higher
-
-Due to visa requirements, we can only accept applicants that hold passports from Australia, Canada, Ireland, New Zealand, South Africa, the United Kingdom (U.K) and the United States of America (U.S.A)
-
-Enthusiastic, adaptable and energetic personalities!","-Monthly salary: 240,000 Yen
-
-End of contract bonus: 80,000 Yen and opportunities for renewal as well as an increase in salary and bonuses
-
-Visa sponsorship and full support in obtaining the working visa
-
-TTR supports teachers from the interview stage up to arrival with the working visa, pre-departure guidance, preparation for documentation, general advice for day-to-day living etc
-
-Company apartment set up for teachers (teachers move to their location placement after training has finished)
-
-Full assistance with opening a Japanese bank account, getting enrolled on the Japanese National Health Insurance (NHI), welfare support, ongoing training throughout the year, observations and feedback from their local supervisor",Japan > Japan,Tamaki TEFL Recruitment (TTR)
